city,state,country
Mumbai,Maharashtra,India
Pune,Maharashtra,India
Nagpur,Maharashtra,India
Nashik,Maharashtra,India
Bengaluru,Karnataka,India
Mysuru,Karnataka,India
Mangaluru,Karnataka,India
Hubballi,Karnataka,India
Chennai,Tamil Nadu,India
Coimbatore,Tamil Nadu,India
Madurai,Tamil Nadu,India
Salem,Tamil Nadu,India
Hyderabad,Telangana,India
Warangal,Telangana,India
Karimnagar,Telangana,India
Delhi,Delhi,India
New Delhi,Delhi,India
Noida,Uttar Pradesh,India
Ghaziabad,Uttar Pradesh,India
Lucknow,Uttar Pradesh,India
Kanpur,Uttar Pradesh,India
Agra,Uttar Pradesh,India
Jaipur,Rajasthan,India
Jodhpur,Rajasthan,India
Udaipur,Rajasthan,India
Kota,Rajasthan,India
Ahmedabad,Gujarat,India
Surat,Gujarat,India
Vadodara,Gujarat,India
Rajkot,Gujarat,India
Kolkata,West Bengal,India
Siliguri,West Bengal,India
Durgapur,West Bengal,India
Bhubaneswar,Odisha,India
Cuttack,Odisha,India
Patna,Bihar,India
Ranchi,Jharkhand,India
Bhopal,Madhya Pradesh,India
Indore,Madhya Pradesh,India
Gwalior,Madhya Pradesh,India
Chandigarh,Chandigarh,India
Amritsar,Punjab,India
Ludhiana,Punjab,India
Mohali,Punjab,India
Kochi,Kerala,India
Thiruvananthapuram,Kerala,India
Kozhikode,Kerala,India
Visakhapatnam,Andhra Pradesh,India
Vijayawada,Andhra Pradesh,India
Guntur,Andhra Pradesh,India
Tirupati,Andhra Pradesh,India
Dehradun,Uttarakhand,India
Haridwar,Uttarakhand,India
Shimla,Himachal Pradesh,India
Guwahati,Assam,India
Shillong,Meghalaya,India
Raipur,Chhattisgarh,India
Jabalpur,Madhya Pradesh,India
